City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
393,lagoa,PT,64.67,39.05,-27.9833,Shiringal Touristic Park
397,ajdabiya,LY,70.45,30.7554,20.2263,Kamaneahn Hotel Inc
398,boquete,PA,71.2,8.7833,-82.4333,Yalemd
400,narrabri,AU,63.52,-30.3167,149.7833,Cihad Oteli
402,muisne,EC,75.76,0.6,-80.0333,Hotell Frøya
407,engels,RU,42.48,51.5,46.1167,Hotel Kandamba
411,buchen,DE,65.32,49.5239,9.3231,Abbotsleigh Motor Inn
412,kovernino,RU,42.12,57.1253,43.8142,Kelly Inn & Suites
415,lavrentiya,RU,31.17,65.5833,-171.0,Aspen Extended Stay Suites
416,santa cecilia,BR,72.82,-26.9608,-50.4269,Super Leisure Hotel
418,nyurba,RU,31.05,63.2842,118.3319,Hotel Vitória Palace
423,ilinskiy,RU,43.52,55.619,38.1182,Hostal La Casona Potosí
424,awbari,LY,69.19,26.5921,12.7805,Shishime Hotel
425,vao,NC,72.68,-22.6667,167.4833,Zhangye Lvzhou Holiday Inn
426,nur,PL,54.77,52.6683,22.3221,Meadows
427,tandil,AR,64.69,-37.3217,-59.1332,Latitude20 Roebourne Village
428,pierre,US,63.52,44.3683,-100.351,Okean
429,paso de los toros,UY,71.38,-32.8167,-56.5167,The Blue Sky Hotel and Tower
431,cristalina,BR,78.89,-16.7686,-47.6136,Broadwater Mariner Resort
432,guerrero negro,MX,73.15,27.9769,-114.0611,Hotel bluevine
434,ponta delgada,PT,66.92,37.7333,-25.6667,La Quinta Inn & Suites by Wyndham Buena Park
435,kaeo,NZ,45.32,-35.1,173.7833,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
436,vanavara,RU,42.22,60.34,102.2797,Cedar Grass Beloye More
437,semey,KZ,35.55,50.4111,80.2275,Hotel Christiansminde
438,corinto,GR,66.88,37.9407,22.9573,Americano
439,port-gentil,GA,79.16,-0.7193,8.7815,Tara Hotel
440,richards bay,ZA,70.79,-28.783,32.0377,Riverview Inn
441,marsh harbour,BS,78.55,26.5412,-77.0636,coastal Hotel
442,huarmey,PE,68.36,-10.0681,-78.1522,KORBEY D'OR OUEST
443,port moresby,PG,75.15,-9.4431,147.1797,Svir Mini-Hotel
444,balaghat,IN,63.95,21.8,80.1833,Priozernaya Hotel
447,pacific grove,US,62.38,36.6177,-121.9166,Wilhelmsen eiendom AS
449,hurricane,US,52.02,37.1753,-113.2899,Austral Hotel
450,ovsyanka,RU,33.22,55.9575,92.5519,Pazo de Verdes
455,dingle,PH,76.19,10.9995,122.6711,Xinya International Hotel
459,niigata,JP,52.92,37.9022,139.0236,Best Western Plus South Coast Inn
460,penzance,GB,59.77,50.1186,-5.5371,Hotel Route Inn Kamaishi
461,palana,RU,20.73,59.1167,159.9667,Hotel Summery
462,haines junction,CA,31.95,60.7522,-137.5108,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
463,nome,US,39.27,64.5011,-165.4064,Pike's Waterfront Lodge
464,molteno,ZA,60.12,-31.3968,26.3625,The Royal Hotel
